============================================================
Distillation Sweep: math
Configs: A_fast, B_medium, C_gentle, D_long
============================================================
  Launching A_fast: /usr/bin/python3.13 train_math.py A_fast
  Launching B_medium: /usr/bin/python3.13 train_math.py B_medium
  Launching C_gentle: /usr/bin/python3.13 train_math.py C_gentle
  Launching D_long: /usr/bin/python3.13 train_math.py D_long

Monitoring 4 configs...
  [02:27:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:27:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:28:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:28:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:29:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:29:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:30:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:30:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:31:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:31:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:32:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:32:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:33:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:33:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:34:10] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:34:40] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:35:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:35:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:36:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:36:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:37:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:37:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:38:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:38:41] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
  [02:39:11] A_fast: step 0 | B_medium: step 0 | C_gentle: step 0 | D_long: step 0
